,날짜,관광지명,관광객수
0,2009.01,(주)제주미니미니랜드,11484
1,2009.01,국립제주박물관,26913
2,2009.01,도립미술관,0
3,2009.01,만장굴관광지,32019
4,2009.01,목석원,4169
5,2009.01,민속자연사박물관,41525
6,2009.01,비자림,3601
7,2009.01,산굼부리,19605
8,2009.01,삼성혈,5392
9,2009.01,삼양선사유적지,1322
10,2009.01,생각하는 정원,10063
11,2009.01,절물자연휴양림,13858
12,2009.01,제주도립 김창열미술관,0
13,2009.01,제주돌문화공원,4233
14,2009.01,제주러브랜드,32081
15,2009.01,제주목관아지,4743
16,2009.01,제주별빛누리공원,0
17,2009.01,제주항일기념관,2337
18,2009.01,한라산국립공원,67479
19,2009.01,한림공원,43936
20,2009.01,항몽 유적지,4073
21,2009.01,해녀 박물관,12196
22,2009.01,감귤박물관,5614
23,2009.01,기당미술관,452
24,2009.01,마라해양도립공원,32436
25,2009.01,박물관은살아있다,0
26,2009.01,산방산,36949
27,2009.01,서귀포도립해양공원,33812
28,2009.01,서귀포자연휴양림,2450
29,2009.01,서복전시관,2603
30,2009.01,성산일출봉,60563
31,2009.01,소리섬박물관,0
32,2009.01,소인국테마파크,58447
33,2009.01,신영영화박물관,6647
34,2009.01,아프리카박물관,11046
35,2009.01,여미지식물원,62106
36,2009.01,이중섭미술관,6932
37,2009.01,익스트림 아일랜드,0
38,2009.01,일출랜드,29391
39,2009.01,정방폭포,20215
40,2009.01,제주민속촌박물관,26436
41,2009.01,제주조각공원,1891
42,2009.01,제주추사관,0
43,2009.01,중문주상절리대,57735
44,2009.01,천제연폭포,26291
45,2009.01,천지연폭포,62665
46,2009.01,카멜리아힐,0
47,2009.01,테디베어뮤지엄,33974
48,2009.01,퍼시픽랜드,27195
49,2009.01,아쿠아플라넷,0
50,2009.01,화락원,0
51,2009.02,(주)제주미니미니랜드,11682
52,2009.02,국립제주박물관,13181
53,2009.02,도립미술관,0
54,2009.02,만장굴관광지,28922
55,2009.02,목석원,3553
56,2009.02,민속자연사박물관,38311
57,2009.02,비자림,4375
58,2009.02,산굼부리,17994
59,2009.02,삼성혈,4321
60,2009.02,삼양선사유적지,1029
61,2009.02,생각하는 정원,10234
62,2009.02,절물자연휴양림,20395
63,2009.02,제주도립 김창열미술관,0
64,2009.02,제주돌문화공원,4855
65,2009.02,제주러브랜드,37561
66,2009.02,제주목관아지,12175
67,2009.02,제주별빛누리공원,0
68,2009.02,제주항일기념관,2920
69,2009.02,한라산국립공원,68470
70,2009.02,한림공원,44017
71,2009.02,항몽 유적지,3423
72,2009.02,해녀 박물관,10911
73,2009.02,감귤박물관,4965
74,2009.02,기당미술관,426
75,2009.02,마라해양도립공원,24005
76,2009.02,박물관은살아있다,0
77,2009.02,산방산,38978
78,2009.02,서귀포도립해양공원,21524
79,2009.02,서귀포자연휴양림,1809
80,2009.02,서복전시관,3192
81,2009.02,성산일출봉,50405
82,2009.02,소리섬박물관,0
83,2009.02,소인국테마파크,43631
84,2009.02,신영영화박물관,5113
85,2009.02,아프리카박물관,8053
86,2009.02,여미지식물원,60137
87,2009.02,이중섭미술관,6225
88,2009.02,익스트림 아일랜드,0
89,2009.02,일출랜드,28884
90,2009.02,정방폭포,20440
91,2009.02,제주민속촌박물관,20981
92,2009.02,제주조각공원,1496
93,2009.02,제주추사관,0
94,2009.02,중문주상절리대,70044
95,2009.02,천제연폭포,30590
96,2009.02,천지연폭포,64288
97,2009.02,카멜리아힐,0
98,2009.02,테디베어뮤지엄,31043
99,2009.02,퍼시픽랜드,26085
100,2009.02,아쿠아플라넷,0
101,2009.02,화락원,0
102,2009.03,(주)제주미니미니랜드,24777
103,2009.03,국립제주박물관,17262
104,2009.03,도립미술관,0
105,2009.03,만장굴관광지,27072
106,2009.03,목석원,6451
107,2009.03,민속자연사박물관,90213
108,2009.03,비자림,6385
109,2009.03,산굼부리,41184
110,2009.03,삼성혈,5513
111,2009.03,삼양선사유적지,1392
112,2009.03,생각하는 정원,14665
113,2009.03,절물자연휴양림,33278
114,2009.03,제주도립 김창열미술관,0
115,2009.03,제주돌문화공원,10796
116,2009.03,제주러브랜드,61904
117,2009.03,제주목관아지,5049
118,2009.03,제주별빛누리공원,0
119,2009.03,제주항일기념관,5622
120,2009.03,한라산국립공원,62945
121,2009.03,한림공원,82138
122,2009.03,항몽 유적지,7095
123,2009.03,해녀 박물관,22761
124,2009.03,감귤박물관,4291
125,2009.03,기당미술관,376
126,2009.03,마라해양도립공원,28596
127,2009.03,박물관은살아있다,0
128,2009.03,산방산,90146
129,2009.03,서귀포도립해양공원,30810
130,2009.03,서귀포자연휴양림,1571
131,2009.03,서복전시관,926
132,2009.03,성산일출봉,94454
133,2009.03,소리섬박물관,0
134,2009.03,소인국테마파크,56749
135,2009.03,신영영화박물관,8385
136,2009.03,아프리카박물관,6411
137,2009.03,여미지식물원,71466
138,2009.03,이중섭미술관,4127
139,2009.03,익스트림 아일랜드,0
140,2009.03,일출랜드,67317
141,2009.03,정방폭포,26696
142,2009.03,제주민속촌박물관,37838
143,2009.03,제주조각공원,2382
144,2009.03,제주추사관,0
145,2009.03,중문주상절리대,113856
146,2009.03,천제연폭포,38168
147,2009.03,천지연폭포,114539
148,2009.03,카멜리아힐,0
149,2009.03,테디베어뮤지엄,27123
150,2009.03,퍼시픽랜드,33332
151,2009.03,아쿠아플라넷,0
152,2009.03,화락원,0
153,2009.04,(주)제주미니미니랜드,37183
154,2009.04,국립제주박물관,50878
155,2009.04,도립미술관,0
156,2009.04,만장굴관광지,38066
157,2009.04,목석원,8174
158,2009.04,민속자연사박물관,149825
159,2009.04,비자림,11270
160,2009.04,산굼부리,83203
161,2009.04,삼성혈,8385
162,2009.04,삼양선사유적지,3673
163,2009.04,생각하는 정원,18032
164,2009.04,절물자연휴양림,51499
165,2009.04,제주도립 김창열미술관,0
166,2009.04,제주돌문화공원,15619
167,2009.04,제주러브랜드,68262
168,2009.04,제주목관아지,9547
169,2009.04,제주별빛누리공원,0
170,2009.04,제주항일기념관,9055
171,2009.04,한라산국립공원,99649
172,2009.04,한림공원,139009
173,2009.04,항몽 유적지,18923
174,2009.04,해녀 박물관,25420
175,2009.04,감귤박물관,9871
176,2009.04,기당미술관,443
177,2009.04,마라해양도립공원,44181
178,2009.04,박물관은살아있다,0
179,2009.04,산방산,137508
180,2009.04,서귀포도립해양공원,40201
181,2009.04,서귀포자연휴양림,3356
182,2009.04,서복전시관,0
183,2009.04,성산일출봉,172096
184,2009.04,소리섬박물관,0
185,2009.04,소인국테마파크,90957
186,2009.04,신영영화박물관,15000
187,2009.04,아프리카박물관,9864
188,2009.04,여미지식물원,97995
189,2009.04,이중섭미술관,4943
190,2009.04,익스트림 아일랜드,0
191,2009.04,일출랜드,100588
192,2009.04,정방폭포,45974
193,2009.04,제주민속촌박물관,69061
194,2009.04,제주조각공원,4058
195,2009.04,제주추사관,0
196,2009.04,중문주상절리대,186585
197,2009.04,천제연폭포,51618
198,2009.04,천지연폭포,176192
199,2009.04,카멜리아힐,0
200,2009.04,테디베어뮤지엄,42524
201,2009.04,퍼시픽랜드,54215
202,2009.04,아쿠아플라넷,0
203,2009.04,화락원,0
204,2009.05,(주)제주미니미니랜드,43831
205,2009.05,국립제주박물관,33922
206,2009.05,도립미술관,0
207,2009.05,만장굴관광지,49333
208,2009.05,목석원,7583
209,2009.05,민속자연사박물관,141607
210,2009.05,비자림,15250
211,2009.05,산굼부리,83470
212,2009.05,삼성혈,8171
213,2009.05,삼양선사유적지,8604
214,2009.05,생각하는 정원,19889
215,2009.05,절물자연휴양림,49620
216,2009.05,제주도립 김창열미술관,0
217,2009.05,제주돌문화공원,27052
218,2009.05,제주러브랜드,56491
219,2009.05,제주목관아지,13442
220,2009.05,제주별빛누리공원,0
221,2009.05,제주항일기념관,7944
222,2009.05,한라산국립공원,157279
223,2009.05,한림공원,133336
224,2009.05,항몽 유적지,16893
225,2009.05,해녀 박물관,19243
226,2009.05,감귤박물관,8368
227,2009.05,기당미술관,457
228,2009.05,마라해양도립공원,57115
229,2009.05,박물관은살아있다,0
230,2009.05,산방산,142155
231,2009.05,서귀포도립해양공원,41042
232,2009.05,서귀포자연휴양림,8114
233,2009.05,서복전시관,0
234,2009.05,성산일출봉,180346
235,2009.05,소리섬박물관,0
236,2009.05,소인국테마파크,82743
237,2009.05,신영영화박물관,16952
238,2009.05,아프리카박물관,9879
239,2009.05,여미지식물원,89728
240,2009.05,이중섭미술관,7076
241,2009.05,익스트림 아일랜드,0
242,2009.05,일출랜드,101337
243,2009.05,정방폭포,54140
244,2009.05,제주민속촌박물관,71259
245,2009.05,제주조각공원,4788
246,2009.05,제주추사관,0
247,2009.05,중문주상절리대,199774
248,2009.05,천제연폭포,55863
249,2009.05,천지연폭포,192394
250,2009.05,카멜리아힐,0
251,2009.05,테디베어뮤지엄,55825
252,2009.05,퍼시픽랜드,64458
253,2009.05,아쿠아플라넷,0
254,2009.05,화락원,0
255,2009.06,(주)제주미니미니랜드,25525
256,2009.06,국립제주박물관,5415
257,2009.06,도립미술관,0
258,2009.06,만장굴관광지,38056
259,2009.06,목석원,4805
260,2009.06,민속자연사박물관,80412
261,2009.06,비자림,11453
262,2009.06,산굼부리,46681
263,2009.06,삼성혈,6007
264,2009.06,삼양선사유적지,7932
265,2009.06,생각하는 정원,12319
266,2009.06,절물자연휴양림,45633
267,2009.06,제주도립 김창열미술관,0
268,2009.06,제주돌문화공원,17024
269,2009.06,제주러브랜드,33977
270,2009.06,제주목관아지,11473
271,2009.06,제주별빛누리공원,0
272,2009.06,제주항일기념관,8198
273,2009.06,한라산국립공원,85734
274,2009.06,한림공원,79460
275,2009.06,항몽 유적지,12209
276,2009.06,해녀 박물관,14855
277,2009.06,감귤박물관,6106
278,2009.06,기당미술관,329
279,2009.06,마라해양도립공원,34062
280,2009.06,박물관은살아있다,0
281,2009.06,산방산,70325
282,2009.06,서귀포도립해양공원,29729
283,2009.06,서귀포자연휴양림,9469
284,2009.06,서복전시관,0
285,2009.06,성산일출봉,118458
286,2009.06,소리섬박물관,0
287,2009.06,소인국테마파크,64695
288,2009.06,신영영화박물관,7453
289,2009.06,아프리카박물관,8053
290,2009.06,여미지식물원,49543
291,2009.06,이중섭미술관,5476
292,2009.06,익스트림 아일랜드,0
293,2009.06,일출랜드,57847
294,2009.06,정방폭포,37480
295,2009.06,제주민속촌박물관,41321
296,2009.06,제주조각공원,2526
297,2009.06,제주추사관,0
298,2009.06,중문주상절리대,106057
299,2009.06,천제연폭포,36021
300,2009.06,천지연폭포,120571
301,2009.06,카멜리아힐,0
302,2009.06,테디베어뮤지엄,40318
303,2009.06,퍼시픽랜드,38205
304,2009.06,아쿠아플라넷,0
305,2009.06,화락원,0
306,2009.07,(주)제주미니미니랜드,25442
307,2009.07,국립제주박물관,18991
308,2009.07,도립미술관,0
309,2009.07,만장굴관광지,58325
310,2009.07,목석원,0
311,2009.07,민속자연사박물관,55089
312,2009.07,비자림,12773
313,2009.07,산굼부리,32304
314,2009.07,삼성혈,7150
315,2009.07,삼양선사유적지,5678
316,2009.07,생각하는 정원,13988
317,2009.07,절물자연휴양림,43726
318,2009.07,제주도립 김창열미술관,0
319,2009.07,제주돌문화공원,11177
320,2009.07,제주러브랜드,34677
321,2009.07,제주목관아지,12570
322,2009.07,제주별빛누리공원,0
323,2009.07,제주항일기념관,4758
324,2009.07,한라산국립공원,59278
325,2009.07,한림공원,72674
326,2009.07,항몽 유적지,9350
327,2009.07,해녀 박물관,10393
328,2009.07,감귤박물관,7223
329,2009.07,기당미술관,564
330,2009.07,마라해양도립공원,29093
331,2009.07,박물관은살아있다,0
332,2009.07,산방산,32144
333,2009.07,서귀포도립해양공원,31126
334,2009.07,서귀포자연휴양림,14866
335,2009.07,서복전시관,0
336,2009.07,성산일출봉,82765
337,2009.07,소리섬박물관,0
338,2009.07,소인국테마파크,61826
339,2009.07,신영영화박물관,7704
340,2009.07,아프리카박물관,12914
341,2009.07,여미지식물원,55412
342,2009.07,이중섭미술관,10347
343,2009.07,익스트림 아일랜드,0
344,2009.07,일출랜드,32753
345,2009.07,정방폭포,41925
346,2009.07,제주민속촌박물관,31705
347,2009.07,제주조각공원,2237
348,2009.07,제주추사관,0
349,2009.07,중문주상절리대,90616
350,2009.07,천제연폭포,44181
351,2009.07,천지연폭포,95174
352,2009.07,카멜리아힐,0
353,2009.07,테디베어뮤지엄,64016
354,2009.07,퍼시픽랜드,41553
355,2009.07,아쿠아플라넷,0
356,2009.07,화락원,0
357,2009.08,(주)제주미니미니랜드,34349
358,2009.08,국립제주박물관,39810
359,2009.08,도립미술관,0
360,2009.08,만장굴관광지,89100
361,2009.08,목석원,0
362,2009.08,민속자연사박물관,66273
363,2009.08,비자림,18118
364,2009.08,산굼부리,41889
365,2009.08,삼성혈,10778
366,2009.08,삼양선사유적지,6501
367,2009.08,생각하는 정원,18807
368,2009.08,절물자연휴양림,52635
369,2009.08,제주도립 김창열미술관,0
370,2009.08,제주돌문화공원,11378
371,2009.08,제주러브랜드,47022
372,2009.08,제주목관아지,9576
373,2009.08,제주별빛누리공원,0
374,2009.08,제주항일기념관,6299
